STATION,STATION_NAME,DATE,HPCP
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730502 00:00,0.08
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730506 05:00,0.05
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730506 06:00,0.02
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730506 08:00,0.06
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730506 09:00,0.05
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730506 10:00,0.05
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730506 11:00,0.03
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730506 12:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730506 16:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730506 17:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730506 18:00,0.01
